"O=C(O)CCC(=O)c1ccccc1",1.3,178.1872,"C10H10O3"
"Brc1ccc(-c2ccc(Br)cc2)cc1",5.72,312.0032,"C12H8Br2"
"c1ccc(/N=N/c2ccccc2)cc1",3.82,182.2244,"C12H10N2"
"CC(C)OC(=O)Nc1ccccc1",2.6,179.2182,"C10H13NO2"
"O=C(O)Cc1ccc(C(=O)O)cc1",1.24,180.1598,"C9H8O4"
"Nc1c(Cl)cc(Cl)cc1Cl",3.52,196.4633,"C6H4Cl3N"
"CC(N)=S",-0.26,75.1282,"C2H5NS"
"NN",-2.07,32.045,"H4N2"
"Cc1cccc(C)c1O",2.36,122.1664,"C8H10O"
"O=Cc1ccc(O)cc1",1.35,122.1232,"C7H6O2"
"COc1cc(C(=O)O)cc(OC)c1O",1.04,198.175,"C9H10O5"
"Nc1nc(N)nc(N)n1",-1.37,126.1206,"C3H6N6"
"CC(=O)Nc1ccc(N)cc1",0.08,150.1798,"C8H10N2O"
"Oc1c(Br)cc(Br)cc1Br",4.13,330.8011,"C6H3Br3O"
"CC(=O)N(C)c1ccccc1",1.12,149.192,"C9H11NO"
"OCCc1ccccn1",0.12,123.1542,"C7H9NO"
"COc1cccc(C=O)c1O",1.37,152.1494,"C8H8O3"
"COc1ccc(CO)cc1",1.1,138.1658,"C8H10O2"
"Cc1cccc(C)n1",1.68,107.1548,"C7H9N"
"CC(=O)Nc1ccc(I)cc1",2.71,261.0618,"C8H8INO"
"Cc1ccc(C(N)=O)cc1",1.18,135.1652,"C8H9NO"
"CC(O)C(C)O",-0.92,90.1218,"C4H10O2"
"Oc1c(Cl)cc(Cl)cc1Cl",3.69,197.4481,"C6H3Cl3O"
"Cc1ccccc1C(N)=O",0.76,135.1652,"C8H9NO"
"Cc1cccc(C(N)=O)c1",1.18,135.1652,"C8H9NO"
"Cc1cccc(NC(N)=O)c1",1.29,150.1798,"C8H10N2O"
"O=C(O)c1ccccc1S",2.39,154.1832,"C7H6O2S"
"Cc1ccccc1S(N)(=O)=O",0.84,171.2136,"C7H9NO2S"
"OCC(Br)(Br)Br",2.1,282.7571,"C2H3Br3O"
"CCCCCCC(=O)O",2.42,130.1864,"C7H14O2"
"Cc1ccccc1C(=O)O",2.46,136.15,"C8H8O2"
"COCC(C)OC(C)=O",0.56,132.159,"C6H12O3"
"CCC(C)c1ccc(O)cc1",3.08,150.22,"C10H14O"
"Cc1cccc(C(=O)O)c1",2.37,136.15,"C8H8O2"
"Cc1ccc(C(=O)O)cc1",2.27,136.15,"C8H8O2"
"COc1c(Br)cc(Br)cc1Br",4.48,344.8279,"C7H5Br3O"
"CCCCCC(C)O",2.31,116.2028,"C7H16O"
"CNS(=O)(=O)c1ccc(C)cc1",1.28,185.2404,"C8H11NO2S"
"CC1=CC(=O)C(C(C)C)=CC1=O",2.2,164.2036,"C10H12O2"
"Oc1cc(Cl)c(Cl)cc1Cl",3.72,197.4481,"C6H3Cl3O"
"CC(=O)NN",-1.58,74.0822,"C2H6N2O"
"O=C1CCCCN1",-0.46,99.1322,"C5H9NO"
"Cc1cc(Cl)ccc1OCC(=O)O",3.25,200.6213,"C9H9ClO3"
"O=C1CCC(=O)N1c1ccccc1",0.06,175.1866,"C10H9NO2"
"CC(=O)c1cccc(O)c1",1.39,136.15,"C8H8O2"
"CN1CCCCC1",1.3,99.1754,"C6H13N"
"O=[N+]([O-])/C=C/c1ccc(Cl)cc1",2.44,183.5939,"C8H6ClNO2"
"O=CC(O)C(O)C(O)C(O)CO",-1.88,180.1572,"C6H12O6"
"S=C(Nc1ccccc1)c1ccccc1",3.03,213.2966,"C13H11NS"
